PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
1604537000,2124,Y,504400,5400,1925,2006,1604,2,R,CL,G,M,7,3,1,0,S,1,M,W,N,0,G,A,A,N,A
2000684000,2131,Y,655800,6866,1920,2013,1961,2,R,CL,L,W,9,6,1,1,M,1,M,W,N,1,G,G,G,N,A
1901724000,2130,Y,990100,4845,1910,0,3215,2.5,R,CL,L,W,11,5,2,1,N,1,S,W,N,1,A,A,A,N,A
1704072000,2124,Y,343700,4200,1890,0,1723,1.5,R,CP,G,M,8,3,2,0,S,1,S,W,N,0,A,A,A,N,A
2010147000,2132,Y,329200,4598,1960,0,1088,1,R,SL,G,M,5,3,1,1,S,1,S,F,N,1,A,A,A,N,A
1001956000,2130,Y,670800,3850,1900,0,2025,2,R,CL,G,F,9,4,2,0,S,1,S,W,N,0,F,A,A,N,A
1604656000,2124,Y,476300,4008,1929,0,1450,2,R,CL,H,M,7,3,1,1,M,1,M,W,N,0,A,A,A,N,A
1901385000,2130,Y,999300,5434,1868,2016,3001,2,R,SD,H,F,8,3,2,1,M,1,M,F,C,0,A,A,F,N,A
1813002000,2136,Y,366800,15105,1910,0,1224,2,R,CL,G,M,6,2,1,0,S,1,S,F,N,0,A,A,A,N,A
1806102000,2131,Y,358100,7093,1920,0,2191,2,R,CL,H,A,7,5,2,0,N,1,N,W,N,0,A,A,A,N,G
1810333000,2136,Y,562000,19600,1900,0,3286,2,R,CL,G,W,7,3,2,1,S,1,S,W,N,0,G,A,A,N,A
2007116000,2132,Y,620800,9427,1940,2014,1812,2,R,CL,G,B,6,3,1,1,M,1,S,W,N,1,A,A,A,N,A
1803850000,2136,N,316600,5587,1903,1982,1561,2,R,CL,H,S,7,4,1,0,S,1,S,W,N,1,A,A,A,N,A
2012192000,2132,Y,347500,6000,1960,0,1555,1,R,RR,G,M,7,3,1,1,S,1,S,W,N,0,A,A,A,N,A
2003538000,2132,Y,336600,4935,1950,0,840,1,R,CP,G,W,4,2,1,0,S,1,S,W,N,1,A,A,A,N,A
2004009000,2132,N,454500,4768,1925,0,1345,2,R,CL,G,U,8,3,1,1,S,1,S,W,N,1,A,A,A,N,A
1808265000,2136,Y,241400,3676,1948,0,592,1,R,RN,G,M,5,1,1,0,S,1,S,F,N,0,A,A,A,N,A
1702097010,2124,Y,217400,2738,1991,0,1277,2,R,SD,G,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1902783000,2130,Y,669000,4755,1954,2004,1845,2,R,CL,G,W,7,3,1,1,M,1,M,W,C,1,G,A,A,N,A
1811390010,2136,Y,562200,9309,2001, ,2052,1,R,CL,H,M,8,4,2,1,M,1,M,W,C,1,G,G,G,N,A
2004080000,2132,Y,491400,4761,1933,1992,1816,2.5,R,CL,G,M,7,3,1,1,N,1,N,W,N,1,A,A,A,N,A
1903942000,2131,Y,573200,12559,1895,0,2314,2,R,CL,G,M,8,4,2,0,N,1,S,W,N,1,A,A,A,N,A
2007904000,2132,Y,406600,4922,1971,0,1607,2,R,CL,G,W,7,3,1,1,N,1,N,W,C,0,A,A,A,N,A
1701011000,2124,Y,593400,7971,1900,0,3651,2,R,CL,L,W,11,6,1,1,S,1,S,W,N,1,A,A,A,N,A
2009960000,2132,N,410500,4767,1956,0,1306,1.5,R,CP,G,M,6,3,1,1,S,1,M,W,N,1,A,A,G,N,A
1811540010,2136,Y,405100,7423,1996,0,1624,2,R,CL,G,M,6,3,1,1,M,1,M,W,C,0,A,G,G,N,A
1810854000,2136,Y,523900,6229,1876,2016,2472,2,R,CL,G,F,7,3,1,1,S,1,S,F,N,1,G,G,G,N,A
1901554000,2130,Y,1015800,5631,1910,0,2522,2,R,CL,H,S,10,4,2,1,S,1,M,W,N,1,A,A,A,N,A
