created_at,text
Tue Aug 01 00:40:04 +0000 2023,"Lemon zest, lemon juice, Parmesan and basil come together for a silky and vibrant sauce that makes this weeknight-f… https://t.co/bgjWB3fto2"
Tue Aug 01 00:30:11 +0000 2023,"After a New York Times report, the FBI investigated who had paid for a spy tool for use by the U.S. government. The… https://t.co/QXRZIK8yEZ"
Tue Aug 01 00:20:06 +0000 2023,"RT @Nate_Cohn: On paper, there's a path to beat Trump. But his loyal base -- along with divisions among other Republicans -- makes him extr…"
Tue Aug 01 00:10:06 +0000 2023,A New Jersey woman now lives alone part of the year on a remote island in Maine that Stephen King called “a novel h… https://t.co/FsHQDkhFD6
Tue Aug 01 00:00:06 +0000 2023,"Angus Cloud had never acted before playing Fezco, the lovable drug dealer in “Euphoria.” In an interview in 2022, h… https://t.co/RC0TAfphk2"
Mon Jul 31 23:40:04 +0000 2023,"The capsized boat of Donald Lawson, a sailor from Baltimore who disappeared in the Pacific Ocean over two weeks ago… https://t.co/k0XD9POvgq"
Mon Jul 31 23:30:06 +0000 2023,A military jury has found that a Marine Corps drill instructor was not guilty of negligent homicide and other charg… https://t.co/6As8im6INd
Mon Jul 31 23:20:08 +0000 2023,"Breaking News: Angus Cloud, the actor best known for portraying Fezco, a lovable drug dealer on the HBO television… https://t.co/gd11xOv5rw"
Mon Jul 31 23:15:04 +0000 2023,"RT @tariqpanja: Well that was unexpected: What could have been the worst night in Australian football, suddenly turns into one of its most…"
Mon Jul 31 23:09:04 +0000 2023,"Breaking News: Angus Cloud, the actor best known for portraying Fezco, a lovable drug dealer on the show “Euphoria,… https://t.co/5f3scXKQHv"
Mon Jul 31 23:00:23 +0000 2023,"""This was so good! We used three larger heirloom tomatoes from our garden and so cut the water down to one cup and… https://t.co/mBqNin9jSs"
Mon Jul 31 22:40:08 +0000 2023,RT @dannyhakim: 1/ Indictments are coming by mid August in the Atlanta criminal investigation of Trump and his circle. Here's our story tod…
Mon Jul 31 22:20:06 +0000 2023,"Nigeria played Ireland to a draw, 0-0, in the Women's World Cup on Monday.

Follow our #FIFAWWC updates.… https://t.co/j7m3fqPjqF"
Mon Jul 31 22:10:07 +0000 2023,"O’Shae Sibley, a gay man, was dancing while filling up a car at a Brooklyn gas station when men attacked him with s… https://t.co/8FAxRqWLzB"
Mon Jul 31 21:50:03 +0000 2023,"Zambia earned a 3-1 win over Costa Rica in the Women's World Cup on Monday.

Follow our #FIFAWWC updates.… https://t.co/s2yGCZqwRD"
Mon Jul 31 21:40:07 +0000 2023,"Australia finally produced a performance worthy of reaching the knockout stage of the Women’s World Cup, advancing… https://t.co/4y3mH022S6"
Mon Jul 31 21:30:07 +0000 2023,"Japan scored early and often and cruised to a 4-0 victory.

Overrunning Spain’s defense with lightning-quick counte… https://t.co/xc9LBsu3Yb"
Mon Jul 31 21:20:05 +0000 2023,Numi’s undershirt promises to block sweat and prevent pit stains. Our @Wirecutter tester discovers that it does the… https://t.co/QlDzdki4l7
Mon Jul 31 21:00:15 +0000 2023,Much of the advice about urinary tract infections isn’t rooted in science. Here are four misunderstood facts about… https://t.co/8RDFDtufyw
Mon Jul 31 20:59:27 +0000 2023,"RT @trbrtc: “The only way to stop this,” Ukraine's military intelligence told us, “is the immediate withdrawal of Russian occupation troops…"
Mon Jul 31 20:50:04 +0000 2023,From @TheAthletic: Buffalo Bills safety Damar Hamlin took another major step in his return to football on Monday. H… https://t.co/A30pdYK9o4
Mon Jul 31 20:45:05 +0000 2023,Two Russian missiles on Monday hit a residential building and university complex in President Volodymyr Zelensky's… https://t.co/rtbz2wvqUq
Mon Jul 31 20:30:09 +0000 2023,"“Barbie” collected an astounding $93 million in its second weekend at the box office, while “Oppenheimer” racked up… https://t.co/9vZ5eZfrMJ"
Mon Jul 31 20:15:03 +0000 2023,"From @TheAthleticFC: Depth is the USWNT’s greatest strength. ""Right now, the evidence we have suggests Andonovski o… https://t.co/U9fTKu6jLO"
Mon Jul 31 20:10:06 +0000 2023,An “X” sign installed on Twitter’s San Francisco headquarters on Friday as part of the company’s rebranding is unde… https://t.co/GpUejKHma6
Mon Jul 31 20:05:05 +0000 2023,India’s opposition parties are trying to force Prime Minister Narendra Modi to address the ethnic violence raging i… https://t.co/86Fg3Mocpk
Mon Jul 31 20:00:25 +0000 2023,"There are hundreds of white T-shirts out there. With help from a fashionable and diverse testing panel, @Wirecutter… https://t.co/3kQ3UWw5zi"
Mon Jul 31 19:50:02 +0000 2023,"At least three different Ukrainian-made drones have been used in attacks inside Russia, including Moscow, according… https://t.co/rQGRj6DRVs"
Mon Jul 31 19:40:10 +0000 2023,"Senator Mitch McConnell's health episode at the Capitol has intensified talk about a possible succession, a prospec… https://t.co/ln45pVlYD9"
Mon Jul 31 19:35:09 +0000 2023,"Magnus White, a 17-year old “rising star” in competitive cycling, died while training for the world championships,… https://t.co/7oQJeTiyP1"
Mon Jul 31 19:30:05 +0000 2023,The James Webb Space Telescope celebrated one year of sharing cosmic images. It recently released a picture of Herb… https://t.co/i0mkQWzvIC
Mon Jul 31 19:20:06 +0000 2023,An Idaho judge sentenced Lori Vallow Daybell to three terms of life in prison without parole for murdering two of h… https://t.co/g3ZnVZ4KII
Mon Jul 31 19:15:07 +0000 2023,"The Islamic State affiliate claimed responsibility for a suicide bombing on Sunday, which targeted a political rall… https://t.co/d0KZVYjVw5"
